Capabilities by Audience,,
"Same capabilities, regrouped by who benefits. Pull the right slice for your conversation.",,
,,
Pillar,Capability,Why this matters to them
Multi-Portal Experience,Applicant Portal,"Applicants see their case in language they understand, fill questionnaires in plain English, upload documents to the right slots."
AI Agents,Document Agent (Extraction + Validation),"Upload a passport, see 30+ fields auto-extracted in 4 seconds. The case manager's most repetitive work becomes background work."
Documents & Forms,Questionnaire Engine with Branching,Applicants only answer questions relevant to their situation. Half-completed forms are never lost.
Documents & Forms,Multi-Cycle Questionnaire Review,"Back-and-forth on questionnaires is structured, not ad-hoc email chains. Audit trail captures every cycle."
Documents & Forms,E-Signature Integration,"Letters move from drafted to signed without leaving the platform. Whatever e-sign provider you use, we integrate."
Documents & Forms,Immigration Passport Vault,Applicants own their immigration history record. Consent is granular and revocable.
Communication,Beneficiary Auto-Invite,Applicant onboarding happens automatically. No more 'partner forgets to invite the client'.
Communication,Multi-Channel Notifications,Reach applicants where they actually look. No duplicates.
Government Integration,Government Status Tracking,Status updates surface to attorneys and applicants automatically. No more manually checking government websites.
Government Integration,Carrier-Integrated Shipment Tracking,Applicants see real shipment status on their portal timeline. No more 'has the package arrived?' email.
Government Integration,Visa Expiry Alerts,"Renewal opportunities surface automatically. No more 'oops, the H-1B expired last week' moments."
,,
Compliance / Counsel / Security   ·   15 capabilities,,
AI Agents,"Determinism, Audit, and Tool Safety","Your AI agents can't go rogue. They can only do what your permission system already allows, and every action is auditable forever."
Documents & Forms,Document Upload with Version Lineage,Document history is queryable. 'Which version of the I-130 did we file last March?' is a one-click answer.
Documents & Forms,Support Letters with Section-Level Review,"Senior partner can comment on a specific paragraph, not 'page 3 needs work'. Multi-reviewer flows are first-class."
Documents & Forms,E-Signature Integration,"Letters move from drafted to signed without leaving the platform. Whatever e-sign provider you use, we integrate."
Communication,Dynamic Merge Fields (92+),"Case updated at 3 PM, email sent at 5 PM uses the latest data. No stale copies."
Compliance & Audit,Immutable Audit Log with Diffs,"Defensible audit trail for any regulator, client, or counsel question. Before/after diffs mean you can prove exactly what changed."
Compliance & Audit,Break-Glass Admin Access,Platform admins can help firms in emergencies without permanent access. Every elevated action is reviewable.
Compliance & Audit,Multi-Tenancy with Row-Level Security,Your firm's data is isolated at the database level — not just the application level. Competitors who skip this can leak between tenants on application bugs.
Compliance & Audit,RBAC via Module Catalog,"Permissions are defined in one place, enforced everywhere. Roles can be edited without code changes."
Compliance & Audit,PII Encryption & Masking,"Sensitive data is protected by default, surfaced only to roles that need it. Logs are safe to share with engineering."
Compliance & Audit,MFA + Throttling on Sensitive Endpoints,Brute-force attacks blocked at the gate. MFA gates the most dangerous operations.
Compliance & Audit,Automated Security Event Detection,Threats surface without manual log review. Reviewed and tracked like any other workflow.
HR / Employer,Versioned Immigration Policies,"Corporate immigration policies live in the platform, not in a SharePoint doc."
Provider Network,Scoped Provider Data Visibility,"Send a translator the beneficiary name and job title, but not salary or passport details. Confidentiality enforced at field level."
Configuration,Feature Flags with Firm Rollout,New features can be rolled out to specific firms or percentages. Risk-managed deployment.
,,
Firm Admin / Platform Admin / Operations   ·   24 capabilities,,
Multi-Portal Experience,Admin Portals (Two Tiers),Firm operations leaders configure their own setup without engineering tickets; platform admins maintain consistent governance.
AI Agents,"Determinism, Audit, and Tool Safety","Your AI agents can't go rogue. They can only do what your permission system already allows, and every action is auditable forever."
Case & Workflow,Configurable Playbook Engine,"Onboarding a new visa type takes days, not months. Firms customize playbooks without engineering tickets."
Case & Workflow,Panel Preview Catalog,Firms configure playbooks visually and see what their applicants/employees will experience before publishing.
Case & Workflow,Auto-Derived Case Status,Status reports stay accurate without manual updates. Reduces the most common case-data-quality problem.
Documents & Forms,Government Forms with Version Lifecycle,"When USCIS releases a new form version, tenants get it without an upgrade. Old in-flight cases keep using the old version."
Communication,Three-Tier Template Stacking,"Firms use platform defaults out of the box, override only what they want different. Templates stay in sync."
Communication,Dynamic Merge Fields (92+),"Case updated at 3 PM, email sent at 5 PM uses the latest data. No stale copies."
Government Integration,Government Agency Catalog,"Adding a new agency is configuration, not code."
Compliance & Audit,Immutable Audit Log with Diffs,"Defensible audit trail for any regulator, client, or counsel question. Before/after diffs mean you can prove exactly what changed."
Compliance & Audit,Break-Glass Admin Access,Platform admins can help firms in emergencies without permanent access. Every elevated action is reviewable.
Compliance & Audit,RBAC via Module Catalog,"Permissions are defined in one place, enforced everywhere. Roles can be edited without code changes."
Compliance & Audit,PII Encryption & Masking,"Sensitive data is protected by default, surfaced only to roles that need it. Logs are safe to share with engineering."
Compliance & Audit,MFA + Throttling on Sensitive Endpoints,Brute-force attacks blocked at the gate. MFA gates the most dangerous operations.
HR / Employer,Bottleneck Heatmap,See exactly which cases are stuck and why. Triage at a glance.
Provider Network,Assignment History Ledger,Data-driven provider selection. 'Which translator is fastest for technical documents?' becomes a query.
Reporting & Analytics,Attorney Analytics,"Firms see their own performance — which attorneys, which templates, which visa categories perform best."
Reporting & Analytics,Billing Engine,Outcome-based pricing is supported out of the box. Firms can charge what they want — not just per-seat.
Configuration,Per-Firm Branding,Applicants see firm branding in emails and the applicant portal — not GlobalCodio.
Configuration,Per-Firm Playbook Overrides,Custom workflows are firm-private. Platform improvements still flow through.
Configuration,Per-Firm Email/Letter/Document Templates,"Templates inherit from the platform, get overridden by firm choices, get further overridden by case-specific needs."
Configuration,Organization Scoping Inside Firms,Multi-entity employers can structure their data the way they actually operate.
Configuration,Feature Flags with Firm Rollout,New features can be rolled out to specific firms or percentages. Risk-managed deployment.
Configuration,Three-Tier Override Pattern,Consistent override pattern across the entire platform. Customize anything at any level.
,,
External Providers   ·   3 capabilities,,
Multi-Portal Experience,Five Distinct Portals,"Every party in an immigration matter gets a purpose-built experience. No more 'attorney has full access, client gets a stripped-down view' design."
Multi-Portal Experience,Provider Portal,External providers get a real portal — not a shared email thread. Firms control exactly which case fields each provider sees.
Provider Network,Deadline-Extension Negotiation,Deadline negotiation is structured. Both parties have a record.
